,picture,MotherID,light,dark,dark/light,black,white,red,green,blue,yellow,purple,turquoise
172,G18-FP-5.posterize.JPG,G18-FP-5,14874,9678,0.650665591,8511,13054,1077,0,37124,1820,90,40
173,G18-FP-6.posterize.JPG,G18-FP-6,29674,16802,0.566219586,11767,25919,4857,0,60097,3755,178,77
174,G18-FP-7.posterize.JPG,G18-FP-7,23995,9507,0.396207543,8360,22909,1064,0,46939,1086,83,77
175,G18-FP-8.posterize.JPG,G18-FP-8,38600,14047,0.363911917,10611,36457,3298,0,52546,2143,138,77
176,G18-FP-9.posterize.JPG,G18-FP-9,36987,23843,0.644631898,21373,35557,2376,0,73787,1430,94,119
177,G18-GS-1.posterize.JPG,G18-GS-1,23951,13678,0.571082627,11776,22538,1744,0,75496,1413,158,17
178,G18-GS-10.posterize.JPG,G18-GS-10,27559,6776,0.245872492,5393,25944,1296,0,47586,1615,87,7
179,G18-GS-11.posterize.JPG,G18-GS-11,4398,1051,0.23897226,609,4318,337,0,27344,80,105,17
180,G18-GS-12.posterize.JPG,G18-GS-12,24903,14213,0.57073445,11549,23694,2318,0,61634,1209,346,14
181,G18-GS-13.posterize.JPG,G18-GS-13,5753,3456,0.600730054,2982,5536,413,0,25807,217,61,10
182,G18-GS-14.posterize.JPG,G18-GS-14,13237,5844,0.441489764,4584,12132,1157,0,35825,1105,103,12
183,G18-GS-15.posterize.JPG,G18-GS-15,18495,6485,0.350635307,5433,17725,918,0,40852,770,134,21
184,G18-GS-16.posterize.JPG,G18-GS-16,21621,8343,0.385874844,7410,20998,834,0,38182,623,99,29
185,G18-GS-17.posterize.JPG,G18-GS-17,5666,525,0.09265796,234,5549,234,0,15741,117,57,39
186,G18-GS-18.posterize.JPG,G18-GS-18,8871,3461,0.390147672,2902,8679,453,0,23316,192,106,32
187,G18-GS-19.posterize.JPG,G18-GS-19,12736,6106,0.479428392,5434,12091,602,0,40418,645,70,42
188,G18-GS-2.posterize.JPG,G18-GS-2,11366,6434,0.566074257,5206,10716,1185,0,47176,650,43,24
189,G18-GS-20.posterize.JPG,G18-GS-20,32416,13413,0.413777147,11902,31463,1372,0,69709,953,139,26
190,G18-GS-21.posterize.JPG,G18-GS-21,30337,13278,0.437683357,11246,29595,1894,0,57182,742,138,123
191,G18-GS-22.posterize.JPG,G18-GS-22,17113,9172,0.535966809,7551,16059,1535,0,37274,1054,86,21
192,G18-GS-23.posterize.JPG,G18-GS-23,8263,2877,0.348178628,2223,7991,564,0,20506,272,90,34
193,G18-GS-24.posterize.JPG,G18-GS-24,21782,6280,0.28831145,4664,20844,1523,0,45026,938,93,72
194,G18-GS-25.posterize.JPG,G18-GS-25,14247,7199,0.505299361,6547,14052,550,0,32555,195,102,42
195,G18-GS-26.posterize.JPG,G18-GS-26,16482,9924,0.602111394,8424,15625,1395,0,67589,857,105,29
196,G18-GS-27.posterize.JPG,G18-GS-27,25284,9255,0.366041766,7193,24065,1906,0,42684,1219,156,42
